Composition,Eg (eV),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
NaInSnS4,2.4,43.5,39,11,50,96.1954,95.7202,22.9898,118.71,6.25,7,3,5,23,63,1,16,9.75,27,1,7,1.5,4,0,1,127.25,350,2,88,2.2,2.2,1,1.8,2.1175,2.54,1.02,1.54,2.745,1.75,1.1,2.65,2.2,2.2,1,1.8,1.1275,0.56,0.43,1.16,3.7475,9.39,0.93,2.58,3.75,9.71,0.89,2.65,8.68683,20.8454,2.5378,5.8458,8.7825,22.03,2.85,6.22,3.67625,9.487,0.869,2.589,4.11,3,1,4,8,23,1,6,3.25,7,1,2,4.75,16,0,4,5,10,0,10,7.25,23,1,6,1440.75,3504,496,1000,13.15,12,2.9,23.6,712.413,134.2,370.95,505.15,2230.96,328.25,717.85,2543.15,5.96775,6.339,0.971,7.31,1.13175,1.003,0.227,1.23,4.94,0.159,1.7175,7.029,165.865,256.6,9.8,295.8,72.569,139.924,0.269,141,442.5,193,109,302,4.54325,2.027,1.113,3.14
Cs2TeBr6,2.12,124,100,35,55,290.945,213.613,79.904,132.905,13.6667,12,4,6,40,100,1,17,18.6667,46,1,8,2.33333,6,0,1,223.333,560,5,95,4.5,1.7,1.15,2.6,4.3,2.14,1.14,2.35,5.83,1.42,1.2,4.31,4.5,1.7,1.15,2.6,5.21667,9.81,1.11,1.82,7.14667,16.18,0.79,2.96,6.96667,15.44,0.77,2.83,17.5848,29.5822,4.4326,6.4079,18.4633,41.18,2.18,7.59,6.52867,14.792,0.659,2.685,1.33333,2,0,2,16.6667,40,1,7,5.33333,10,1,2,11.3333,30,0,5,3.33333,10,0,10,15.3333,40,1,7,2820.33,6088,376,1140,47.7667,100.6,3.1,59.6,973.817,873.05,265.95,722.65,1712.98,728.75,331.95,1262.95,9.56667,2.5,1.87,6.24,1.17267,2.638,0.2,0.473,17.7967,13.306,2.092,17.49,93.5527,42.852,15.438,67.74,40.3607,117.268,0.122,59,342.333,39,79,197,3.706,0.582,0.804,2.19
K0.6Cs0.4PSe6,2.1,63.1,7,15,55,145.339,22.1884,30.9738,132.905,7.95,0.6,3,6,28,95.6,1,16,12.5,41.6,1,7,1.75,6,0,1,155.2,532.2,3,89,2.565,0.04,1,2.6,2.5445,0.12,1.06,2.35,3.222,0.484,1.24,4.31,2.565,0.04,1,2.6,1.3265,0.414,0.31,1.81,4.5745,14.984,0.79,2.55,4.587,14.932,0.77,2.54,10.7428,32.8931,2.7882,5.761,10.821,34.468,2.18,5.89,4.39025,14.3404,0.659,2.434,4,2.6,1,3,10.5,35.6,1,6,3.75,11.6,1,2,6.75,24,0,4,0,0,0,0,10.5,35.6,1,6,1764.95,861.6,376,1012,19.07,20.24,3.6,59.6,895.153,2820.28,301.55,490.15,1824.7,66.74,553.15,1033.15,7.956,28.224,0.86,4.79,0.809,0.674,0.24,0.77,10.7645,39.507,0.657,6.694,78.3367,35.793,12.129,79.87,24.3788,61.205,0.235,102.4,440.65,283.4,79,315,4.768,3.1084,0.804,3.43
Ca2Ge,1,36,8,20,32,76.383,7.546,40.078,72.61,6,4,4,4,9,10,2,14,5,2,2,6,0.5,1,0,1,46.5,65,7,79,2.425,2.35,1.25,1.8,2.35,2.26,1.22,1.74,3.78,4.44,1.56,3,2.425,2.35,1.25,1.8,1.405,1.75,0.53,1.14,2.005,0.01,1,2.01,2.165,0.35,1.17,1.99,5.3331,1.385,3.0128,4.6406,4.5,0.2,2.2,4.6,2.031,0.074,1.034,1.994,4,0,2,4,4,0,2,4,3,2,2,2,1,2,0,2,0,0,0,0,4,0,2,4,971,418,590,762,25.85,39.5,6.1,22.8,1722.42,1003.75,1112.15,1220.55,3308.72,411.15,1757.15,3103.15,4.21,2.22,1.55,5.32,0.79,0.94,0.32,0.63,27.01,19.86,8.54,36.94,318.75,24.3,153.3,330.9,229.95,340.1,59.9,200,366.5,21,178,377,3.765,0.17,1.84,3.85
Ba2ZnTe3,2.1,99.3333,82,30,56,240.948,209.264,65.39,137.327,10.3333,8,4,6,21.3333,44,2,16,8.66667,14,2,6,1.66667,2,0,2,119,252,9,90,3.28333,2.95,1.35,2.15,3.09667,2.71,1.25,1.98,4.56467,1.794,1.67,3.402,3.28333,2.95,1.35,2.15,2.35,2.24,0.74,1.49,3.24333,4.52,0.89,2.1,3.58,4.98,1.08,2.38,9.67223,12.5739,3.7515,5.4418,8.57333,11.67,2.4,5.49,3.27533,4.712,0.881,2.158,4.81333,1.56,2,4.44,11.3333,8,2,12,4,4,2,2,4,12,0,4,13.3333,30,0,10,4,0,2,2,1506.33,100,503,906,34.1,62.9,5.5,39.7,1619,1303.55,692.75,998.15,2931.43,2647.15,1179.15,1913.15,10.95,0.13,3.5,7.13,0.466,0.21,0.2,0.39,25.0973,45.148,7.322,17.49,185.65,126.35,52.55,142,53.2833,108.95,2.35,116,360.667,460,131,197,3.90667,5.22,1.35,2.19
Zn2In2S5,2.7,79.3333,18,16,49,173.582,69.306,32.066,114.818,11,5,3,5,43.3333,56,12,16,17.6667,27,4,7,3.66667,1,1,2,242.667,302,69,88,3.6,1.9,1,1.55,3.49333,2.22,1.02,1.44,4.45333,1.4,1.1,2.05,3.6,1.9,1,1.55,1.83667,0.27,0.43,0.94,6.58667,9.6,1.65,2.58,6.46333,10.37,1.44,2.65,15.0665,21.726,3.7515,5.8458,15.4,24.9,3.1,6.22,6.479,9.765,1.59,2.589,8.58667,1.12,2,4.44,20,18,3,12,6,6,2,2,7.33333,20,0,4,13.3333,50,0,10,12.6667,26,2,6,2642.67,3884,558,1000,15.5667,4.9,2.9,9.7,1391.58,544.25,385.95,692.75,3551.28,1117.05,717.85,2353.15,13.0767,4.27,2.07,7.31,1.59667,3.09,0.23,0.71,9.91917,6.0565,1.7175,7.322,247.533,414,9.8,231.5,132.182,230.655,0.269,116,714.333,1133,131,279,7.33,11.55,1.35,2.85
CuGaO2,1.47,25.3333,15,8,31,55.0893,37.7242,15.9994,69.723,4,0,2,4,18.6667,21,11,16,7.66667,10,4,7,1.66667,0,1,2,104,110,64,87,1.28333,0.15,0.6,1.35,1.29667,0.2,0.73,1.26,1.555,1.11,0.465,2.04,1.28333,0.15,0.6,1.35,1.29667,1.71,0.71,1.21,3.53,5.07,1.81,3.44,3.14,5.56,1.08,3.32,8.1905,13.0769,3.6637,8.3703,7.58667,11.88,3.2,7.54,3.60867,5.464,1.756,3.61,2.96,5.44,0,5.44,8.66667,8,3,11,2.33333,1,1,2,3,8,0,4,3.33333,10,0,10,5.33333,11,1,6,1317.33,2049,579,1314,5.462,6.514,0.793,8.1,589.533,1246.65,54.75,1356.15,1898.87,2659.85,90.15,2840.15,4.95429,8.95714,0.00143,8.96,0.863333,1.47,0.37,0.92,6.36173,12.6048,0.22259,13.05,188.607,293.48,3.4099,300.3,147.218,400.947,0.02674,401,374,160,249,338,3.84667,1.75,2.62,3.49
Ni2InVO6,1.92,44,1,8,49,94.7857,18.8216,15.9994,114.818,7.25,7,2,5,33.5,91,5,16,14.75,38,4,7,3.25,4,1,2,191.25,476,46,87,2.3,2.05,0.6,1.55,2.335,2.94,0.73,1.44,2.9075,0.36,0.465,2.43,2.3,2.05,0.6,1.55,2.57,6.58,0.68,1.21,6.9675,19.01,1.63,3.44,6.8225,18.29,1.63,3.32,16.2039,47.0197,3.2021,8.3703,15.185,42.14,3.1,7.54,7.1515,20.13,1.53,3.61,5,11.56,0,5.78,16,17,3,10,5,0,2,2,6.25,24,0,4,7.25,10,0,10,11,34,2,6,2641.75,7326,558,1314,10.1145,7.642,0.793,12.4,1593.42,1834.65,54.75,2163.15,3138.38,3112.25,90.15,3653.15,7.80714,17.7914,0.00143,8.9,1.78,5.29,0.23,0.92,15.1096,19.5645,0.22259,20.9,248.303,740.348,0.452,370.4,73.4651,181.24,0.02674,90.7,777.75,271,243,514,8.1075,2.79,2.52,5.31
PrB6,4.9,44.5,29,5,59,102.887,76.0417,10.811,140.908,9,6,2,6,40.5,75,3,13,19.5,33,3,6,4.5,3,1,3,224.5,415,17,72,3.475,3.25,0.85,1.85,3.285,3.27,0.82,1.65,4.625,0.29,0.795,4.48,3.475,3.25,0.85,1.85,1.41,0.18,0.25,1.32,6.685,11.11,1.13,2.04,6.25,10.3,1.1,1.9,16.105,22.9311,4.5951,4.6395,14.42,22.64,3.1,4.29,6.698,11.216,1.09,2.051,10.55,14.9,3,3.1,10.5,15,3,3,7,10,2,2,3,6,0,1,0,0,0,0,10,16,2,3,2666.5,4279,527,801,23.1,10.2,3,28.2,7658.52,12908.8,1204.15,2352.15,10114.5,13648.8,2823.15,3290.15,10.405,7.27,2.34,6.77,3.155,5.93,0.19,1.02,154.045,294.31,6.89,50.2,1617.5,2641.4,296.8,489.7,87.25,149.5,12.5,27,1897,3082,356,573,19.28,31.16,3.7,5.81
Rb2Mo3Se3O16,3.1,107.5,2,8,42,237.906,31.8296,15.9994,95.94,17.25,17,2,5,81,254,1,16,36.75,110,1,7,6.25,6,0,2,454.25,259,4,89,5.525,4.9,0.6,2.35,5.845,7.36,0.73,2.16,6.91375,0.76,0.465,4.1,5.525,4.9,0.6,2.35,6.6825,1.64,0.56,1.66,17.7025,53.4,0.82,3.44,17.04,51.52,0.8,3.32,42.0624,127.548,3.1886,8.3703,38.6725,115.96,2.34,7.54,17.721,56.348,0.706,3.61,6.335,17.34,0,5.78,33.5,94,1,6,10.75,29,1,2,19,64,0,4,3.75,15,0,5,29.75,93,1,6,6676.25,20218,403,1314,39.272,81.912,0.793,47.3,2910.25,7794.45,54.75,2890.15,5222.65,13213,90.15,4885.15,12.0132,30.5771,0.00143,10.2,4.289,13.97,0.25,0.92,31.0069,92.4386,0.22259,32,526.523,1739.44,3.4099,598,134.237,413.572,0.02674,138,1702.75,1802,86,658,17.866,18.756,0.852,6.82
CdS,2.425,32,32,16,48,72.2385,80.345,32.066,112.411,4,2,3,5,14,4,12,16,5.5,3,4,7,0.5,1,0,1,79,18,70,88,1.275,0.55,1,1.55,1.25,0.46,1.02,1.48,1.6575,1.115,1.1,2.215,1.275,0.55,1,1.55,0.675,0.49,0.43,0.92,2.135,0.89,1.69,2.58,2.025,1.25,1.4,2.65,4.88225,1.9271,3.9187,5.8458,5.275,1.89,4.33,6.22,2.0545,1.069,1.52,2.589,3.22,2.44,2,4.44,9,6,6,12,2,0,2,2,2,4,0,4,5,10,0,10,4,4,2,6,934,132,868,1000,5.05,4.3,2.9,7.2,490,208.1,385.95,594.05,878,320.3,717.85,1038.15,5.36,6.58,2.07,8.65,0.47,0.48,0.23,0.71,3.95475,4.4745,1.7175,6.192,54.685,89.77,9.8,99.57,48.5345,96.531,0.269,96.8,195.5,167,112,279,2.005,1.69,1.16,2.85
RbInS2,3.3,39.3333,17,16,49,88.1393,50.686,32.066,114.818,5.33333,1,3,5,15.3333,31,1,16,6.66667,13,1,7,1,2,0,1,85,172,4,88,1.96667,0.35,1,2.35,1.88,0.12,1.02,2.16,2.78333,1.9,1.1,4.1,1.96667,0.35,1,2.35,1.15333,0.8,0.43,1.66,2.58667,4.34,0.82,2.58,2.57667,4.5,0.8,2.65,6.3713,8.503,3.1886,5.8458,5.96,10.1,2.34,6.22,2.51333,4.472,0.706,2.589,2.81333,2.44,1,3.44,5.33333,11,1,6,2.33333,3,1,2,3,8,0,4,3.33333,10,0,10,5,11,1,6,987,1597,403,1000,20.9333,41.5,2.9,47.3,504.567,117.7,312.05,429.75,1582.67,917.45,717.85,2353.15,4.32667,5.78,1.53,7.31,0.671,1.19,0.23,0.71,2.96333,0.172,1.7175,3.263,107.772,211.9,9.8,231.5,46.7793,81.062,0.269,81.6,295.667,472,86,279,3.024,4.848,0.852,2.85
Ga1.001Sb0.999Se0.003,0.705,27.3607,19.918,31,51,63.8893,51.8455,69.723,121.76,3.00367,4.983,4,5,9.34867,12.965,13,16,3.67333,4.984,5,7,0.667667,0,1,1,53.0853,73.807,74,89,0.917767,1.4451,1.15,1.45,0.88778,1.39512,1.16,1.4,1.1546,1.75938,1.285,1.765,0.917767,1.4451,1.15,1.45,0.553847,0.89742,0.56,0.9,1.28914,1.80416,1.81,2.55,1.28239,1.69408,1.7,2.54,3.05965,4.15408,4.1672,5.761,2.68867,3.18553,3.2,5.89,1.24902,1.75045,1.756,2.434,2.14881,3.43744,2,3.44,2.672,2.985,3,6,1.33533,0,2,2,1.33667,0.989,1,4,3.33,9.99,0,10,1.673,1.98,2,6,471.856,576.756,579,941,4.9043,8.0967,3.8,8.1,402.656,599.993,302.95,904.15,1634.21,2675.95,958.15,2676.15,4.20119,6.66894,4.79,6.69,0.193707,0.16058,0.21,0.37,8.4886,14.2545,5.59,19.87,112.045,258.846,37.7,258.7,21.6408,40.6345,2.04,40.6,182.902,285.605,227,286,1.85581,2.80543,2.46,2.81
BaGa4S7,3.54,97.3333,56,16,56,213.56,87.135,32.066,137.327,14.3333,15,3,6,55.3333,110,2,16,23.6667,47,2,7,3.66667,7,0,1,307,607,9,88,4.78333,4.85,1,2.15,4.72,5.16,1.02,1.98,5.96067,4.298,1.1,3.402,4.78333,4.85,1,2.15,2.51333,1.52,0.43,1.49,8.73,17.17,0.89,2.58,8.81,17.47,1.08,2.65,20.6864,24.2518,4.1672,5.8458,19.58,41.14,2.4,6.22,8.676,17.242,0.881,2.589,9.92,0.24,2,3.44,18.6667,40,2,6,8,0,2,2,10.6667,28,0,4,0,0,0,0,18.6667,40,2,6,3273,6497,503,1000,30.8,19.4,2.9,39.7,1637.2,213.65,302.95,998.15,5880.9,5679.65,717.85,2676.15,13.8633,9.11,2.07,5.9,2.218,4.766,0.204,0.71,14.0442,4.2725,1.7175,7.75,415.133,966.2,9.8,258.7,60.8943,160.517,0.269,40.6,1092.33,964,180,286,11.03,18.05,1.9,2.85
CuIn3Te5,1.2,145.333,231,29,52,348.667,574.454,63.546,127.6,14.6667,21,4,5,43.3333,69,11,16,16.3333,26,4,6,3.33333,3,1,2,246.333,386,64,90,4.33333,3.3,1.35,1.55,4.09667,3.15,1.17,1.44,5.51333,2.2,1.67,2.05,4.33333,3.3,1.35,1.55,3.02667,4.84,0.71,1.11,5.91333,5.16,1.78,2.1,5.95667,10.82,1.08,2.38,14.5246,23.5453,3.6637,5.4418,13.7433,18.15,3.1,5.49,5.86933,5.822,1.656,2.158,8.58667,4.56,2,5.44,16.6667,2,3,11,5.66667,1,1,2,7.66667,20,0,4,30,0,10,10,5.66667,9,1,2,2254.67,2671,558,869,21.1,1.6,5.5,9.7,2086.22,66.9,429.75,1356.15,5404.78,3474.6,1262.95,2840.15,20.6967,22.24,6.24,8.96,0.69,0.62,0.2,0.38,36.763,77.661,3.263,17.49,419.183,37.55,52.55,300.3,219.183,389.25,2.35,401,684,647,197,338,7.33333,7.46,2.19,3.49
LiMgAs,0.7,16,30,3,33,35.3892,67.9806,6.941,74.9216,3,2,2,4,6,14,1,15,3,5,1,6,0.333333,1,0,1,51,83,1,84,1.36667,0.35,1.15,1.5,1.39667,0.43,1.2,1.63,1.685,0.615,1.415,2.03,1.36667,0.35,1.15,1.5,0.826667,0.18,0.72,0.9,1.49,1.2,0.98,2.18,1.49333,1.37,0.9,2.27,3.7896,2.1975,2.9745,5.172,4.02,2.29,3.01,5.3,1.472,1.299,0.912,2.211,2,2,1,3,2.66667,4,1,5,1.66667,1,1,2,1,3,0,3,0,0,0,0,2.66667,4,1,5,735,427,520,947,13.0667,20,4.3,24.3,821.983,636.5,453.65,1090.15,1289.48,725,890.15,1615.15,2.671,5.187,0.543,5.73,1.65,3.27,0.33,3.6,13.218,24.7,3,27.7,102.693,111.16,34.76,145.92,96.9,106,50,156,203.667,154,148,302,2.03333,1.45,1.51,2.96
InSb,0.18,50,2,49,51,118.289,6.942,114.818,121.76,5,0,5,5,14,2,13,15,5.5,1,5,6,1,0,1,1,80,10,75,85,1.5,0.1,1.45,1.55,1.42,0.04,1.4,1.44,1.9075,0.285,1.765,2.05,1.5,0.1,1.45,1.55,0.92,0.04,0.9,0.94,1.915,0.27,1.78,2.05,1.885,0.51,1.63,2.14,4.6145,0.7616,4.2337,4.9953,3.975,1.75,3.1,4.85,1.82,0.328,1.656,1.984,3.22,0.44,3,3.44,4,2,3,5,2,0,2,2,2,2,1,3,10,0,10,10,2,0,2,2,696,276,558,834,8.15,3.1,6.6,9.7,666.95,474.4,429.75,904.15,2288.15,130,2223.15,2353.15,7,0.62,6.69,7.31,0.22,0.02,0.21,0.23,11.5665,16.607,3.263,19.87,154.32,154.36,77.14,231.5,52.95,57.3,24.3,81.6,252.5,19,243,262,2.635,0.23,2.52,2.75
Ba2ZnV2O8,3.48,63,48,8,56,142.481,146.659,15.9994,137.327,10,4,2,6,38.5,124,2,16,18,52,2,7,3.5,4,0,2,218.75,678,9,87,3.2875,0.5,0.6,2.15,3.3725,1.88,0.73,1.98,4.316,3.084,0.465,3.402,3.2875,0.5,0.6,2.15,3.69,1.62,0.68,1.49,8.5525,25.74,0.89,3.44,8.65,24.4,1.08,3.32,21.5145,60.5582,3.2021,8.3703,19.1925,55.52,2.4,7.54,8.823,27.118,0.881,3.61,4.61,10,0,5,18.5,8,2,12,6.5,0,2,2,8,32,0,4,4,10,0,10,14.5,44,2,6,3431.5,9506,503,1314,29.236,73.056,0.793,39.7,1863.34,3888.3,54.75,2163.15,3258.24,6585.1,90.15,3653.15,6.59036,7.11856,0.00143,7.13,2.2845,6.952,0.204,0.92,16.6007,40.0193,0.22259,20.9,106.871,283.096,0.452,142,53.6035,115.786,0.02674,116,877.75,897,131,514,9.1825,9.27,1.35,5.31
TlSe,0.57,57.5,47,34,81,141.672,125.423,78.96,204.383,5,2,4,6,14.5,3,13,16,6,2,5,7,1,0,1,1,82.5,13,76,89,1.525,0.75,1.15,1.9,1.32,0.32,1.16,1.48,1.76,0.95,1.285,2.235,1.525,0.75,1.15,1.9,0.795,0.47,0.56,1.03,2.085,0.93,1.62,2.55,2.115,0.85,1.69,2.54,5.2114,1.0992,4.6618,5.761,4.545,2.69,3.2,5.89,2.1115,0.645,1.789,2.434,2.72,1.44,2,3.44,4.5,3,3,6,2,0,2,2,2.5,3,1,4,5,10,0,10,4.5,3,3,6,765,352,589,941,5.7,3.8,3.8,7.6,533.15,86,490.15,576.15,1344.15,772,958.15,1730.15,8.345,7.11,4.79,11.9,0.225,0.19,0.13,0.32,5.418,2.552,4.142,6.694,100.9,126.4,37.7,164.1,24.07,44.06,2.04,46.1,204.5,45,182,227,2.17,0.58,1.88,2.46
Bi2SI2O11,3.74,94,78,8,83,219.957,241.967,15.9994,208.98,11.75,10,2,6,64,4,15,17,27.5,6,5,8,4,0,1,1,352.25,20,86,96,3.4,3.4,0.6,1.6,3.6575,5.11,0.73,1.46,3.34475,1.121,0.465,1.997,3.4,3.4,0.6,1.6,5.05,3.69,0.43,2.06,12.445,33.8,2.02,3.44,12.2425,32.24,2.14,3.32,29.8601,82.4157,4.8288,8.3703,28.015,73.56,4.69,7.54,12.7592,35.69,2.01,3.61,2,6,0,3,24,4,5,7,8,0,2,2,16,4,3,5,10,20,0,10,24,4,5,7,4719,13048,703,1314,9.10575,6.077,0.793,7.4,712.45,486.05,54.75,544.15,1572.53,2674.65,90.15,1833.15,7.86143,19.4843,0.00143,9.75,2.8745,9.88,0.12,0.92,10.6035,20.1515,0.22259,11.3,74.6032,172.091,3.4099,104.8,4.30028,15.4459,0.02674,7.87,911.5,65,107,279,9.5625,0.63,1.11,2.85
Pb0.99Ge0.01Te,0.32,44.5,80.86,32,82,111.151,204.402,72.61,207.2,3.66,5.9,4,6,10,15.86,14,16,3.67,1.05,5,6,0.666667,0,1,1,56.9933,89.21,79,90,1.06483,1.7695,1.25,1.8,0.9425,1.4431,1.22,1.47,1.25157,2.0535,1.56,2.09,1.06483,1.7695,1.25,1.8,0.863467,1.4698,0.53,1.49,1.3007,0.318,1.8,2.1,1.43357,0.4792,1.92,2.38,3.39373,5.39539,4.6406,5.4418,3.13233,1.629,3.9,5.49,1.3378,0.32254,1.854,2.158,1.4852,1.96,2,4,3.33333,5.96,4,6,1.33333,0,2,2,2,3.98,2,4,6.63333,10,0,10,2,2,2,4,528.487,160.16,716,869,4.09767,1.232,5.5,6.8,443.166,582.438,600.65,1220.55,1095.67,1231.92,1262.95,3103.15,5.85973,11.2328,5.32,11.4,0.110633,0.1255,0.13,0.32,7.5368,4.38161,4.799,36.94,77.2607,49.241,52.55,330.9,12.632,1.751,2.35,59.9,131.603,190.27,196,377,1.41273,1.9712,2.03,3.85
ZrSe3,1.25,71,62,34,40,164.052,145.656,78.96,91.224,8.5,7,4,5,26,44,4,16,12.5,17,4,7,2.5,1,1,2,155.5,223,44,89,2.5,1.9,1.15,1.55,2.465,2.03,1.16,1.45,3.34,1.03,1.285,2.825,2.5,1.9,1.15,1.55,1.27,0.82,0.56,0.86,4.49,6.32,1.33,2.55,4.66,5.92,1.7,2.54,10.3675,13.8309,3.4521,5.761,10.655,14.03,3.64,5.89,4.311,5.982,1.32,2.434,5,2,2,4,11,14,4,6,4,4,2,2,6,12,0,4,1,2,0,2,10,16,2,6,1731.5,2183,640,941,14.65,6.5,3.8,17.9,1797.8,654.7,490.15,2125.15,3762.3,1775.7,958.15,4650.15,10.44,7.86,4.79,6.51,0.615,0.69,0.27,0.32,18.491,3.182,6.694,16.9,85.65,54.9,37.7,58.2,14.41,16.58,2.04,22.7,645,72,227,609,6.815,1.13,2.46,6.25
ZnTe,2.255,41,22,30,52,96.495,62.21,65.39,127.6,4.5,1,4,5,14,4,12,16,5,2,4,6,1.5,1,1,2,79.5,21,69,90,1.375,0.05,1.35,1.4,1.305,0.11,1.25,1.36,1.775,0.21,1.67,1.88,1.375,0.05,1.35,1.4,0.925,0.37,0.74,1.11,1.875,0.45,1.65,2.1,1.91,0.94,1.44,2.38,4.59665,1.6903,3.7515,5.4418,4.97,1.04,4.45,5.49,1.874,0.568,1.59,2.158,3.22,2.44,2,4.44,9,6,6,12,2,0,2,2,2,4,0,4,10,0,10,10,2,0,2,2,887.5,37,869,906,5.95,0.9,5.5,6.4,707.7,29.9,692.75,722.65,1221.05,83.8,1179.15,1262.95,6.685,0.89,6.24,7.13,0.295,0.19,0.2,0.39,12.406,10.168,7.322,17.49,83.925,62.75,52.55,115.3,59.175,113.65,2.35,116,164,66,131,197,1.77,0.84,1.35,2.19
ZnSb,1.05,40.5,21,30,51,93.575,56.37,65.39,121.76,4.5,1,4,5,13.5,3,12,15,5,2,4,6,1.5,1,1,2,77,16,69,85,1.4,0.1,1.35,1.45,1.325,0.15,1.25,1.4,1.8225,0.115,1.765,1.88,1.4,0.1,1.35,1.45,0.82,0.16,0.74,0.9,1.85,0.4,1.65,2.05,1.79,0.7,1.44,2.14,4.3734,1.2438,3.7515,4.9953,4.65,0.4,4.45,4.85,1.787,0.394,1.59,1.984,3.72,1.44,3,4.44,8.5,7,5,12,2,0,2,2,1.5,3,0,3,10,0,10,10,2,0,2,2,870,72,834,906,6.5,0.2,6.4,6.6,798.45,211.4,692.75,904.15,1701.15,1044,1179.15,2223.15,6.91,0.44,6.69,7.13,0.3,0.18,0.21,0.39,13.596,12.548,7.322,19.87,96.22,38.16,77.14,115.3,70.15,91.7,24.3,116,196.5,131,131,262,2.05,1.4,1.35,2.75
Rb2AgPS4,2.6,50,32,15,47,109.51,76.8944,30.9738,107.868,7.5,7,3,5,23,62,1,16,10.25,26,1,7,1.25,4,0,1,127,344,4,88,2.825,0.7,1,2.35,2.7,0.24,1.02,2.16,4.05375,3.8,1.1,4.1,2.825,0.7,1,2.35,1.66,3.01,0.31,1.66,4.02,8.68,0.82,2.58,3.8975,9,0.8,2.65,9.64292,17.006,3.1886,5.8458,9.905,20.2,2.34,6.22,3.97275,8.944,0.706,2.589,4.61,3.44,1,5.44,10.5,9,1,11,3.25,7,1,2,4.75,16,0,4,2.5,10,0,10,8,23,1,6,1637.25,206,403,1012,29.425,83,2.9,47.3,930.075,611.05,312.05,1235.15,1957,1932,553.15,2485.15,5.915,7.44,1.53,10.5,1.14275,0.535,0.235,0.77,5.80275,10.643,0.657,11.3,111.585,211.38,9.8,250.58,136.678,428.765,0.235,429,471.75,143,86,315,4.871,1.726,0.852,3.43
BaCu2SnSe4,0.48,75,2,29,56,174.742,10.235,63.546,137.327,8.75,10,4,6,25.5,62,2,16,10.75,26,2,7,2.25,4,0,2,143.25,347,9,89,2.725,2.45,1.15,2.15,2.5925,2.66,1.16,1.98,3.6255,1.738,1.285,3.402,2.725,2.45,1.15,2.15,1.46,0.75,0.56,1.49,4.2125,9.31,0.89,2.55,3.82,8,1.08,2.54,9.85848,15.7166,3.6637,5.761,9.805,21.16,2.4,5.89,4.03525,8.855,0.881,2.434,6.22,2.88,2,5.44,13,20,2,11,3.5,6,1,2,4.5,16,0,4,7.5,10,0,10,7.5,22,1,6,1616.5,3261,503,941,19,24.5,3.8,39.7,1544.05,751.7,490.15,1356.15,3492.3,1847.7,958.15,2840.15,11.9725,14.42,3.5,8.96,0.61775,0.556,0.204,0.38,16.9138,0.676,6.694,13.05,297.3,449.8,37.7,300.3,223.79,793.84,2.04,401,516.5,496,180,338,5.465,5.08,1.9,3.49
BiPO4,3.85,43.3333,51,8,83,101.317,144.983,15.9994,208.98,5.66667,2,2,6,31.3333,49,15,16,13.3333,23,5,7,2,0,1,1,172.333,265,83,87,1.66667,0.8,0.6,1.6,1.81333,1.46,0.73,1.46,1.699,0.137,0.465,1.997,1.66667,0.8,0.6,1.6,2.10667,4.53,0.31,1.21,5.99,11.74,2.02,3.44,5.91333,11.14,2.14,3.32,14.423,28.6524,4.8288,8.3703,13.49,25.47,4.69,7.54,6.23433,12.43,2.01,3.61,2,12,0,3,11.3333,19,5,6,4,0,2,2,7.33333,13,3,4,3.33333,10,0,10,11.3333,19,5,6,2323.67,4553,703,1314,4.724,4.228,0.793,7.4,360.133,325.15,54.75,544.15,915.633,1472.55,90.15,1833.15,3.85857,9.74428,0.00143,9.75,1.52333,3.56,0.12,0.92,4.28245,10.4096,0.22259,11.3,43.5229,91.1604,3.4099,104.8,2.73732,7.76304,0.02674,7.87,506,108,207,315,5.36333,1.25,2.18,3.43
Na2Se,2,28,12,11,34,62.4698,32.9805,22.9898,78.96,5,2,3,4,9,14,1,16,4.5,5,1,7,0.5,1,0,1,46.5,85,2,89,2.375,2.45,1.15,1.8,2.12,1.92,1.16,1.54,3.2925,4.015,1.285,2.65,2.375,2.45,1.15,1.8,1.44,1.76,0.56,1.16,2.205,0.69,0.93,2.55,2.16,0.76,0.89,2.54,5.4183,0.6854,2.5378,5.761,5.795,0.19,2.85,5.89,2.086,0.696,0.869,2.434,2,0,1,2,4,4,1,6,2,0,1,2,2,4,0,4,0,0,0,0,4,4,1,6,966.5,51,496,941,25.5,43.4,3.8,23.6,616.025,251.75,370.95,490.15,1635.22,1354.15,958.15,1156.15,3.366,2.848,0.971,4.79,1.39,2.14,0.32,1.23,5.945,1.498,2.598,6.694,115.81,156.22,37.7,96.96,142.02,279.96,2.04,141,222.5,9,109,227,2.343,0.234,1.113,2.46
